"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","8:9","30:51","Dict(\"Gall\"=>30:51)",3,"Mecamylamine","15:53:00 - 15:55:00","50uM",NA,NA,"2016-02-29 Mon"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","3:8","[1:11;13:23]","Dict(\"Gall\"=>[1:11;13:23])",1,"Mecamylamine","14:42:00 - 14:44:00","50uM",NA,NA,"2016-03-01 Tue"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","3:9","1:6","Dict(\"Gall\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-03-02 Wed"
"*** 37F06 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","37F06","attP1","VK5","3:9","10:32","Dict(\"Gall\"=>10:32)",2,"Mecamylamine","14:42:00 - 14:44:00","50uM",NA,NA,"2016-03-02 Wed"
"*** 60D05L Chrimson - 18A05 GCamp6m","Female","LexA","Gal4","60D05","18A05","attP1","VK5","3:9","2:6","Dict(\"LAL\"=>2:6)",1,NA,NA,NA,NA,NA,"2016-03-09 Wed"
"*** 60D05L Chrimson - 18A05 GCamp6m","Female","LexA","Gal4","60D05","18A05","attP1","VK5","3:9","7:28","Dict(\"Gall\"=>7:28)",2,"Mecamylamine","14:13:00 - 14:15:00","50uM",NA,NA,"2016-03-09 Wed"
"*** 60D05L Chrimson - 18A05 GCamp6m","Female","LexA","Gal4","60D05","18A05","attP1","VK5","3:9","29:34","Dict(\"Gall\"=>29:34)",3,NA,NA,NA,NA,NA,"2016-03-09 Wed"
"*** 60D05L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","60D05","55G08","attP1","VK5","5","[1:3;5:6]","Dict(\"PB-in\"=>[1:3;5:6])",1,NA,NA,NA,NA,NA,"2016-04-12 Tue"
"*** 60D05L Chrimson - 55G08 GCamp6m","Female","LexA","Gal4","60D05","55G08","attP1","VK5","5","1:6","Dict(\"PB-in\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-04-13 Wed"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","5","15:20","Dict(\"FB\"=>15:20)",2,NA,NA,NA,NA,NA,"2016-04-13 Wed"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","5","21:26","Dict(\"FB\"=>21:26)",3,NA,NA,NA,NA,NA,"2016-04-13 Wed"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","6","1:6","Dict(\"FB\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-04-14 Thu"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","6","7:12","Dict(\"FB\"=>7:12)",2,NA,NA,NA,NA,NA,"2016-04-14 Thu"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","6","13:18","Dict(\"FB\"=>13:18)",3,NA,NA,NA,NA,NA,"2016-04-14 Thu"
"*** 76E11L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","76E11","87G07","attP1","VK5","6","19:24","Dict(\"FB\"=>19:24)",4,NA,NA,NA,NA,NA,"2016-04-14 Thu"
