"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 60D05L Chrimson - 17H12 GCamp6m","Female","LexA","Gal4","60D05","17H12","attP1","VK5","5:7","31:36","Dict(\"EB\"=>31:36)",6,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 47G08 Chrimson - 67D09L GCamp6m","Female","Gal4","LexA","67D09","47G08","attP1","VK5","5:7","37:42","Dict(\"FB\"=>37:42)",7,NA,NA,NA,NA,NA,"2016-02-09 Tue"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","5","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-16 Tue"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","5","8:13","Dict(\"LAL\"=>8:13)",2,NA,NA,NA,NA,NA,"2016-02-16 Tue"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","5","14:19","Dict(\"LAL-out\"=>14:19)",3,NA,NA,NA,NA,NA,"2016-02-16 Tue"
"*** 84H05 Chrimson - 49H05L GCamp6m","Female","Gal4","LexA","49H05","84H05","attP1","VK5","5","20:25","Dict(\"LAL-out\"=>20:25)",4,NA,NA,NA,NA,NA,"2016-02-16 Tue"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","6","1:26","Dict(\"LAL\"=>1:26)",1,"Mecamylamine","11:20:00 - 11:22:00","50uM",NA,NA,"2016-02-17 Wed"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","6","27:51","Dict(\"LAL\"=>27:51)",2,"Mecamylamine","13:42:00 - 13:44:00","50uM",NA,NA,"2016-02-17 Wed"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","6","52:57","Dict(\"LAL\"=>52:57)",3,NA,NA,NA,NA,NA,"2016-02-17 Wed"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","6","58:63","Dict(\"LAL\"=>58:63)",4,NA,NA,NA,NA,NA,"2016-02-17 Wed"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","6","64:69","Dict(\"LAL\"=>64:69)",5,NA,NA,NA,NA,NA,"2016-02-17 Wed"
"*** 75H04 Chrimson - 72H06L GCamp6m","Female","Gal4","LexA","72H06","75H04","attP1","VK5","6","1:6","Dict(\"LAL\"=>1:6)",1,NA,NA,NA,NA,NA,"2016-02-18 Thu"
"*** 84H05L Chrimson - 72H06 GCamp6m","Female","LexA","Gal4","84H05","72H06","attP1","VK5","6","7:30","Dict(\"LAL\"=>7:30)",2,"Mecamylamine","14:15:00 - 14:17:00","50uM",NA,NA,"2016-02-18 Thu"
